customer_id,first_name,last_name,email,join_date,total_visits,avg_spend_eur,total_spend_eur,loyalty_points,segment,preferred_category,is_active
C0001,Caoimhe,Hennessy,caoimhe.hennessy@gmail.com,2023-06-02,111,26.82,2977.02,1665,VIP,Food,True
C0002,Orla,Ryan,orla.ryan@gmail.com,2024-07-18,29,42.37,1228.73,406,Regular,Draught Beer,True
C0003,Eoin,Doyle,eoin.doyle@gmail.com,2023-03-30,7,34.96,244.72,84,Occasional,Wine,True
C0004,Conor,Doyle,conor.doyle@gmail.com,2023-07-24,15,55.8,837.0,225,Occasional,Food,True
C0005,Oisin,McCarthy,oisin.mccarthy@gmail.com,2023-02-06,62,73.15,4535.3,372,VIP,Non-Alcoholic,True
C0006,Aisling,O'Brien,aisling.obrien@gmail.com,2024-08-14,70,69.68,4877.6,700,VIP,Wine,True
C0007,Sean,Doyle,sean.doyle@gmail.com,2024-08-03,87,32.67,2842.29,957,VIP,Draught Beer,True
C0008,Darragh,Connolly,darragh.connolly@gmail.com,2024-02-24,115,55.01,6326.15,1380,VIP,Non-Alcoholic,True
C0009,Sinead,O'Brien,sinead.obrien@gmail.com,2023-04-26,80,62.77,5021.6,480,VIP,Wine,True
C0010,Ciara,Kavanagh,ciara.kavanagh@gmail.com,2023-10-18,24,60.63,1455.12,336,Regular,Food,True
C0011,Roisin,Doyle,roisin.doyle@gmail.com,2024-07-03,6,43.84,263.04,30,Occasional,Non-Alcoholic,True
C0012,Fionn,Hennessy,fionn.hennessy@gmail.com,2024-05-05,16,43.45,695.2,240,Occasional,Wine,True
C0013,Siobhan,McCarthy,siobhan.mccarthy@gmail.com,2023-08-14,85,60.75,5163.75,1020,VIP,Wine,True
C0014,Ciara,Kelly,ciara.kelly@gmail.com,2024-02-15,13,17.69,229.97,195,Occasional,Food,True
C0015,Roisin,O'Sullivan,roisin.osullivan@gmail.com,2024-04-09,97,75.81,7353.57,1261,VIP,Draught Beer,True
C0016,Maeve,Hennessy,maeve.hennessy@gmail.com,2024-04-10,29,18.59,539.11,290,Regular,Draught Beer,True
C0017,Grainne,Kelly,grainne.kelly@gmail.com,2024-07-15,87,54.37,4730.19,1131,VIP,Wine,True
C0018,Emma,Kelly,emma.kelly@gmail.com,2023-09-16,79,42.32,3343.28,395,VIP,Wine,True
C0019,Liam,Walsh,liam.walsh@gmail.com,2023-02-09,6,67.07,402.42,48,Occasional,Draught Beer,True
C0020,Roisin,Hennessy,roisin.hennessy@gmail.com,2024-02-17,78,52.86,4123.08,780,VIP,Draught Beer,True
C0021,Caoimhe,Murphy,caoimhe.murphy@gmail.com,2023-08-24,104,32.18,3346.72,520,VIP,Non-Alcoholic,True
C0022,Emma,Kelly,emma22@gmail.com,2023-03-06,97,20.02,1941.94,1067,VIP,Spirits,True
C0023,Niamh,Ryan,niamh.ryan@gmail.com,2024-04-15,76,69.68,5295.68,760,VIP,Spirits,True
C0024,Liam,Burke,liam.burke@gmail.com,2024-08-12,9,77.7,699.3,135,Occasional,Non-Alcoholic,True
C0025,Sinead,Hennessy,sinead.hennessy@gmail.com,2023-03-11,54,21.37,1153.98,756,VIP,Non-Alcoholic,True
C0026,Orla,Walsh,orla.walsh@gmail.com,2024-03-15,8,52.11,416.88,96,Occasional,Draught Beer,True
C0027,Aoife,Byrne,aoife.byrne@gmail.com,2023-10-26,59,54.93,3240.87,295,VIP,Wine,True
C0028,Fionn,Connolly,fionn.connolly@gmail.com,2024-02-11,109,15.04,1639.36,1635,VIP,Draught Beer,True
C0029,Eoin,O'Brien,eoin.obrien@gmail.com,2024-03-20,92,62.65,5763.8,644,VIP,Non-Alcoholic,True
C0030,Siobhan,Kavanagh,siobhan.kavanagh@gmail.com,2023-08-30,95,66.69,6335.55,1045,VIP,Non-Alcoholic,True
C0031,Conor,O'Sullivan,conor.osullivan@gmail.com,2023-12-12,37,32.83,1214.71,407,Regular,Spirits,True
C0032,Aisling,Burke,aisling.burke@gmail.com,2024-02-12,84,21.82,1832.88,924,VIP,Food,True
C0033,Eoin,Doyle,eoin33@gmail.com,2023-11-09,102,84.19,8587.38,1224,VIP,Wine,True
C0034,Ciara,Brennan,ciara.brennan@gmail.com,2024-04-22,4,36.3,145.2,28,New,Wine,True
C0035,Darragh,Burke,darragh.burke@gmail.com,2023-05-24,36,78.67,2832.12,180,Regular,Food,True
C0036,Sean,McCarthy,sean.mccarthy@gmail.com,2023-12-31,11,38.05,418.55,99,Occasional,Wine,True
C0037,Conor,McCarthy,conor.mccarthy@gmail.com,2023-04-18,20,74.59,1491.8,120,Regular,Wine,True
C0038,Niamh,O'Sullivan,niamh.osullivan@gmail.com,2023-03-19,118,54.65,6448.7,1416,VIP,Non-Alcoholic,True
C0039,Darragh,Brennan,darragh.brennan@gmail.com,2023-07-17,22,58.2,1280.4,330,Regular,Wine,True
C0040,Grainne,Connolly,grainne.connolly@gmail.com,2023-12-28,76,49.47,3759.72,532,VIP,Draught Beer,True
C0041,Brendan,Doyle,brendan.doyle@gmail.com,2023-08-30,55,33.86,1862.3,715,VIP,Wine,True
C0042,Maeve,O'Brien,maeve.obrien@gmail.com,2023-01-08,97,15.29,1483.13,485,VIP,Wine,True
C0043,Aoife,Kavanagh,aoife.kavanagh@gmail.com,2024-07-20,104,67.91,7062.64,520,VIP,Spirits,True
C0044,Ciara,Walsh,ciara.walsh@gmail.com,2024-04-13,8,23.36,186.88,64,Occasional,Non-Alcoholic,True
C0045,Oisin,Connolly,oisin.connolly@gmail.com,2023-04-29,35,54.68,1913.8,490,Regular,Wine,True
C0046,Maeve,Burke,maeve.burke@gmail.com,2023-01-03,25,40.12,1003.0,325,Regular,Food,True
C0047,Niamh,Burke,niamh.burke@gmail.com,2023-08-29,66,81.18,5357.88,660,VIP,Spirits,True
C0048,Eoin,McCarthy,eoin.mccarthy@gmail.com,2024-08-04,33,45.27,1493.91,264,Regular,Draught Beer,True
C0049,Roisin,Doyle,roisin49@gmail.com,2024-06-01,12,15.26,183.12,72,Occasional,Wine,True
C0050,Darragh,Hennessy,darragh.hennessy@gmail.com,2024-03-26,102,82.54,8419.08,612,VIP,Wine,True
C0051,Darragh,Kavanagh,darragh.kavanagh@gmail.com,2023-02-21,92,21.43,1971.56,828,VIP,Non-Alcoholic,True
C0052,Oisin,Connolly,oisin52@gmail.com,2023-06-25,109,62.7,6834.3,763,VIP,Food,True
C0053,Emma,O'Sullivan,emma.osullivan@gmail.com,2023-06-11,94,38.52,3620.88,1316,VIP,Food,True
C0054,Aoife,Byrne,aoife54@gmail.com,2023-12-14,75,81.41,6105.75,375,VIP,Spirits,True
C0055,Declan,Doyle,declan.doyle@gmail.com,2023-08-01,18,24.17,435.06,144,Occasional,Non-Alcoholic,True
C0056,Declan,McCarthy,declan.mccarthy@gmail.com,2024-06-07,48,70.53,3385.44,240,Regular,Non-Alcoholic,True
C0057,Niamh,Doyle,niamh.doyle@gmail.com,2023-10-05,55,31.02,1706.1,715,VIP,Non-Alcoholic,True
C0058,Cian,Doyle,cian.doyle@gmail.com,2023-01-11,88,65.99,5807.12,616,VIP,Wine,True
C0059,Liam,Burke,liam59@gmail.com,2023-02-02,101,69.77,7046.77,1313,VIP,Food,True
C0060,Jack,Ryan,jack.ryan@gmail.com,2023-01-26,42,61.76,2593.92,294,Regular,Spirits,True
C0061,Orla,Kelly,orla.kelly@gmail.com,2024-07-11,108,65.31,7053.48,1404,VIP,Food,True
C0062,Conor,Kelly,conor.kelly@gmail.com,2023-06-02,114,42.56,4851.84,570,VIP,Spirits,True
C0063,Jack,Burke,jack.burke@gmail.com,2023-11-17,106,66.32,7029.92,1166,VIP,Draught Beer,True
C0064,Liam,Connolly,liam.connolly@gmail.com,2024-04-26,82,60.27,4942.14,1066,VIP,Spirits,True
C0065,Darragh,Byrne,darragh.byrne@gmail.com,2024-06-07,105,42.8,4494.0,1575,VIP,Draught Beer,True
C0066,Niamh,Kelly,niamh.kelly@gmail.com,2024-06-13,41,70.5,2890.5,369,Regular,Food,True
C0067,Conor,Hennessy,conor.hennessy@gmail.com,2024-07-14,53,57.31,3037.43,318,VIP,Draught Beer,True
C0068,Oisin,Hennessy,oisin.hennessy@gmail.com,2023-04-08,100,33.36,3336.0,1500,VIP,Food,True
C0069,Conor,Kelly,conor69@gmail.com,2023-03-01,53,18.5,980.5,636,VIP,Spirits,True
