shift_id,date,staff_id,staff_name,role,shift_start,hours_worked,hourly_rate,labour_cost,is_weekend,is_event_day
SH20230101S010,2023-01-01,S010,Liam McCarthy,Kitchen,13,7,15.0,105.0,True,False
SH20230101S007,2023-01-01,S007,Roisin Doyle,Floor Staff,17,7,13.5,94.5,True,False
SH20230101S001,2023-01-01,S001,Aoife Murphy,Bartender,12,7,14.5,101.5,True,False
SH20230101S006,2023-01-01,S006,Seamus Connolly,Floor Staff,11,8,13.5,108.0,True,False
SH20230101S005,2023-01-01,S005,Niamh Walsh,Bartender,11,8,14.5,116.0,True,False
SH20230101S009,2023-01-01,S009,Emma Burke,Kitchen,12,6,15.0,90.0,True,False
SH20230101S002,2023-01-01,S002,Cian O'Sullivan,Bartender,13,6,14.5,87.0,True,False
SH20230102S002,2023-01-02,S002,Cian O'Sullivan,Bartender,17,5,14.5,72.5,False,False
SH20230102S004,2023-01-02,S004,Declan Byrne,Supervisor,17,5,18.0,90.0,False,False
SH20230103S002,2023-01-03,S002,Cian O'Sullivan,Bartender,11,5,14.5,72.5,False,False
SH20230103S004,2023-01-03,S004,Declan Byrne,Supervisor,17,5,18.0,90.0,False,False
SH20230103S003,2023-01-03,S003,Siobhan Kelly,Bartender,11,5,14.5,72.5,False,False
SH20230104S009,2023-01-04,S009,Emma Burke,Kitchen,11,5,15.0,75.0,False,False
SH20230104S010,2023-01-04,S010,Liam McCarthy,Kitchen,12,6,15.0,90.0,False,False
SH20230104S008,2023-01-04,S008,Patrick Hennessy,Supervisor,17,5,18.0,90.0,False,False
SH20230104S003,2023-01-04,S003,Siobhan Kelly,Bartender,13,6,14.5,87.0,False,False
SH20230105S003,2023-01-05,S003,Siobhan Kelly,Bartender,13,5,14.5,72.5,False,False
SH20230105S005,2023-01-05,S005,Niamh Walsh,Bartender,13,6,14.5,87.0,False,False
SH20230105S007,2023-01-05,S007,Roisin Doyle,Floor Staff,12,6,13.5,81.0,False,False
SH20230106S009,2023-01-06,S009,Emma Burke,Kitchen,17,6,15.0,90.0,False,False
SH20230106S003,2023-01-06,S003,Siobhan Kelly,Bartender,11,7,14.5,101.5,False,False
SH20230106S002,2023-01-06,S002,Cian O'Sullivan,Bartender,12,6,14.5,87.0,False,False
SH20230106S006,2023-01-06,S006,Seamus Connolly,Floor Staff,17,6,13.5,81.0,False,False
SH20230106S001,2023-01-06,S001,Aoife Murphy,Bartender,13,6,14.5,87.0,False,False
SH20230106S007,2023-01-06,S007,Roisin Doyle,Floor Staff,11,7,13.5,94.5,False,False
SH20230107S002,2023-01-07,S002,Cian O'Sullivan,Bartender,12,7,14.5,101.5,True,False
SH20230107S001,2023-01-07,S001,Aoife Murphy,Bartender,13,6,14.5,87.0,True,False
SH20230107S005,2023-01-07,S005,Niamh Walsh,Bartender,17,8,14.5,116.0,True,False
SH20230107S010,2023-01-07,S010,Liam McCarthy,Kitchen,12,8,15.0,120.0,True,False
SH20230107S007,2023-01-07,S007,Roisin Doyle,Floor Staff,17,6,13.5,81.0,True,False
SH20230108S004,2023-01-08,S004,Declan Byrne,Supervisor,13,6,18.0,108.0,True,False
SH20230108S006,2023-01-08,S006,Seamus Connolly,Floor Staff,17,7,13.5,94.5,True,False
SH20230108S005,2023-01-08,S005,Niamh Walsh,Bartender,13,7,14.5,101.5,True,False
SH20230108S001,2023-01-08,S001,Aoife Murphy,Bartender,17,8,14.5,116.0,True,False
SH20230108S003,2023-01-08,S003,Siobhan Kelly,Bartender,12,8,14.5,116.0,True,False
SH20230108S007,2023-01-08,S007,Roisin Doyle,Floor Staff,12,7,13.5,94.5,True,False
SH20230108S009,2023-01-08,S009,Emma Burke,Kitchen,12,8,15.0,120.0,True,False
SH20230108S008,2023-01-08,S008,Patrick Hennessy,Supervisor,17,8,18.0,144.0,True,False
SH20230109S010,2023-01-09,S010,Liam McCarthy,Kitchen,17,6,15.0,90.0,False,False
SH20230109S004,2023-01-09,S004,Declan Byrne,Supervisor,11,6,18.0,108.0,False,False
SH20230109S008,2023-01-09,S008,Patrick Hennessy,Supervisor,13,5,18.0,90.0,False,False
SH20230110S005,2023-01-10,S005,Niamh Walsh,Bartender,17,5,14.5,72.5,False,False
SH20230110S007,2023-01-10,S007,Roisin Doyle,Floor Staff,17,6,13.5,81.0,False,False
SH20230110S010,2023-01-10,S010,Liam McCarthy,Kitchen,17,6,15.0,90.0,False,False
SH20230110S004,2023-01-10,S004,Declan Byrne,Supervisor,11,5,18.0,90.0,False,False
SH20230111S008,2023-01-11,S008,Patrick Hennessy,Supervisor,13,6,18.0,108.0,False,False
SH20230111S006,2023-01-11,S006,Seamus Connolly,Floor Staff,13,5,13.5,67.5,False,False
SH20230111S009,2023-01-11,S009,Emma Burke,Kitchen,13,6,15.0,90.0,False,False
SH20230112S007,2023-01-12,S007,Roisin Doyle,Floor Staff,13,6,13.5,81.0,False,False
SH20230112S005,2023-01-12,S005,Niamh Walsh,Bartender,12,5,14.5,72.5,False,False
SH20230113S005,2023-01-13,S005,Niamh Walsh,Bartender,11,8,14.5,116.0,False,False
SH20230113S008,2023-01-13,S008,Patrick Hennessy,Supervisor,17,8,18.0,144.0,False,False
SH20230113S009,2023-01-13,S009,Emma Burke,Kitchen,13,8,15.0,120.0,False,False
SH20230113S002,2023-01-13,S002,Cian O'Sullivan,Bartender,12,8,14.5,116.0,False,False
SH20230113S007,2023-01-13,S007,Roisin Doyle,Floor Staff,17,6,13.5,81.0,False,False
SH20230113S006,2023-01-13,S006,Seamus Connolly,Floor Staff,17,7,13.5,94.5,False,False
SH20230113S001,2023-01-13,S001,Aoife Murphy,Bartender,11,7,14.5,101.5,False,False
SH20230113S003,2023-01-13,S003,Siobhan Kelly,Bartender,13,7,14.5,101.5,False,False
SH20230114S002,2023-01-14,S002,Cian O'Sullivan,Bartender,12,8,14.5,116.0,True,False
SH20230114S008,2023-01-14,S008,Patrick Hennessy,Supervisor,13,7,18.0,126.0,True,False
SH20230114S007,2023-01-14,S007,Roisin Doyle,Floor Staff,13,7,13.5,94.5,True,False
SH20230114S005,2023-01-14,S005,Niamh Walsh,Bartender,11,8,14.5,116.0,True,False
SH20230114S001,2023-01-14,S001,Aoife Murphy,Bartender,13,7,14.5,101.5,True,False
SH20230114S006,2023-01-14,S006,Seamus Connolly,Floor Staff,13,6,13.5,81.0,True,False
SH20230114S009,2023-01-14,S009,Emma Burke,Kitchen,13,8,15.0,120.0,True,False
SH20230115S010,2023-01-15,S010,Liam McCarthy,Kitchen,11,6,15.0,90.0,True,False
SH20230115S004,2023-01-15,S004,Declan Byrne,Supervisor,12,6,18.0,108.0,True,False
SH20230115S007,2023-01-15,S007,Roisin Doyle,Floor Staff,11,7,13.5,94.5,True,False
SH20230115S006,2023-01-15,S006,Seamus Connolly,Floor Staff,12,7,13.5,94.5,True,False
SH20230115S009,2023-01-15,S009,Emma Burke,Kitchen,17,6,15.0,90.0,True,False
SH20230115S003,2023-01-15,S003,Siobhan Kelly,Bartender,12,6,14.5,87.0,True,False
SH20230115S002,2023-01-15,S002,Cian O'Sullivan,Bartender,12,8,14.5,116.0,True,False
SH20230115S001,2023-01-15,S001,Aoife Murphy,Bartender,17,8,14.5,116.0,True,False
SH20230116S004,2023-01-16,S004,Declan Byrne,Supervisor,13,5,18.0,90.0,False,False
SH20230116S009,2023-01-16,S009,Emma Burke,Kitchen,12,6,15.0,90.0,False,False
SH20230116S001,2023-01-16,S001,Aoife Murphy,Bartender,13,5,14.5,72.5,False,False
SH20230116S007,2023-01-16,S007,Roisin Doyle,Floor Staff,11,6,13.5,81.0,False,False
SH20230117S003,2023-01-17,S003,Siobhan Kelly,Bartender,17,6,14.5,87.0,False,False
SH20230117S010,2023-01-17,S010,Liam McCarthy,Kitchen,11,5,15.0,75.0,False,False
SH20230117S004,2023-01-17,S004,Declan Byrne,Supervisor,17,6,18.0,108.0,False,False
SH20230117S002,2023-01-17,S002,Cian O'Sullivan,Bartender,12,5,14.5,72.5,False,False
SH20230118S004,2023-01-18,S004,Declan Byrne,Supervisor,13,5,18.0,90.0,False,False
SH20230118S001,2023-01-18,S001,Aoife Murphy,Bartender,17,6,14.5,87.0,False,False
SH20230119S004,2023-01-19,S004,Declan Byrne,Supervisor,11,6,18.0,108.0,False,False
SH20230119S010,2023-01-19,S010,Liam McCarthy,Kitchen,11,5,15.0,75.0,False,False
SH20230119S009,2023-01-19,S009,Emma Burke,Kitchen,13,6,15.0,90.0,False,False
SH20230120S006,2023-01-20,S006,Seamus Connolly,Floor Staff,12,8,13.5,108.0,False,False
SH20230120S002,2023-01-20,S002,Cian O'Sullivan,Bartender,13,6,14.5,87.0,False,False
SH20230120S001,2023-01-20,S001,Aoife Murphy,Bartender,13,8,14.5,116.0,False,False
SH20230120S010,2023-01-20,S010,Liam McCarthy,Kitchen,13,6,15.0,90.0,False,False
SH20230120S009,2023-01-20,S009,Emma Burke,Kitchen,12,6,15.0,90.0,False,False
SH20230120S003,2023-01-20,S003,Siobhan Kelly,Bartender,12,7,14.5,101.5,False,False
